Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Notice of Special Interest (NOSI): Molecular and Genetic Characterization of Inborn Errors of Immunity,11/29/21,3/20/24,"R01,R21",NIH,NIAID,None,NOT-AI-21-082,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-082.html
NIGMS National and Regional Resources (R24 - Clinical Trial Not Allowed),11/29/21,6/15/24,R24,NIH,NIGMS,None,PAR-22-065,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-065.html
Fostering Research With Additional Resources and Development (FORWARD) Urology Centers  (P20 Clinical Trial Not Allowed),11/29/21,3/25/22,P20,NIH,NIDDK,None,RFA-DK-21-032,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-21-032.html
National Centers for Metabolic Phenotyping in Live Models of Obesity and Diabetes (MPMOD) (U2C - Clinical Trial Not Allowed),11/29/21,3/9/22,U2C,NIH,NIDDK,None,RFA-DK-21-027,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-21-027.html
Coordinating Unit for the National Centers for Metabolic Phenotyping in Live Models of Obesity and Diabetes (MPMOD) (U24 - Clinical Trial Not Allowed),11/29/21,3/9/22,U24,NIH,NIDDK,None,RFA-DK-21-035,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-21-035.html
Notice of Special Interest (NOSI): Administrative Supplements for NCCIH Grants to Support Pain-Focused High Priority Research Areas,11/24/21,5/3/22,Admin Supp,NIH,NCCIH,None,NOT-AT-22-003,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-22-003.html
"Notice of Special Interest (NOSI): Examining Effects of HIV Pre-Exposure Prophylaxis (PrEP) on Heart, Lung, Blood, and Sleep Function",11/24/21,5/8/25,R01,NIH,NHLBI,None,NOT-HL-21-025,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-21-025.html
Research Centers in Minority Institutions (RCMI) (U54 Clinical Trials Optional),11/23/21,1/27/22,U54,NIH,NIMHD,None,RFA-MD-22-002,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-22-002.html
Toward Translation of Nanotechnology Cancer Interventions (TTNCI) (R01 Clinical Trial Not Allowed),11/23/21,11/18/24,R01,NIH,NCI,None,PAR-22-071,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-071.html
Advanced Development and Validation of Emerging Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed),11/23/21,9/23/22,R33,NIH,NCI,None,RFA-CA-22-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-002.html
Innovative Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed),11/23/21,9/23/22,R61,NIH,NCI,None,RFA-CA-22-001,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-001.html
"Analysis, Technology, Leadership, Administration and Science (ATLAS) Center (U24 Clinical Trial Not Allowed)",11/23/21,3/25/22,U24,NIH,NIDDK,None,RFA-DK-21-034,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-21-034.html
Notice of Special Interest (NOSI): Basic and Translational Oral Health Research Related to HIV/AIDS,11/23/21,5/8/23,"R21,R01",NIH,NIDCR,None,NOT-DE-21-019,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-21-019.html
Notice of Special Interest: Administrative Supplements on High Priority Topic Areas for NCCIH Grants,11/23/21,6/2/22,Admin Supp,NIH,NCCIH,None,NOT-AT-22-002,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-22-002.html
Notice of Special Interest (NOSI): Limited Competition for Administrative Supplements to Accelerate the Development of a Translational Research Resource Platform for Advancing Maternal Precision Therapeutics,11/23/21,3/4/22,Admin Supp,NIH,NICHD,None,NOT-HD-21-051,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-21-051.html
Notice of Special Interest (NOSI): Availability of Administrative Supplements to INBRE Awards to Fund Research Collaborations,11/23/21,2/1/24,Admin Supp,NIH,NIGMS,ORWH,NOT-GM-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-22-001.html
Notice of Special Interest (NOSI):  Accelerating Progress in Celiac Disease Research,11/23/21,1/8/25,"R03,R21,U01,U44,R01,R34,P01,R61/R33",NIH,NIAID,"NIAMS, NCCIH, NCI",NOT-AI-22-004,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-22-004.html
Notice of Special Interest: Expanding the Otitis Media Research Workforce: Focus on Early Stage Investigators,11/23/21,9/8/25,"R21,R01,U01",NIH,NIDCD,None,NOT-DC-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DC-22-001.html
Measures and Methods to Advance Research on Minority Health and Health Disparities-Related Constructs (R01 Clinical Trial Not Allowed),11/20/21,5/8/24,R01,NIH,NIMHD,"NCI, NIA, NIDCR, NIEHS, NIMH, OBSSR, ODP",PAR-22-072,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-072.html
Limited Competition: Network for Emergency Care Clinical Trials: Strategies to Innovate EmeRgENcy Care Clinical Trials Network (SIREN) - Clinical Coordinating Center (CCC) (U24 Clinical Trial Not Allowed),11/19/21,1/19/22,U24,NIH,NINDS,NHLBI,RFA-NS-22-014,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-014.html
Limited Competition: Network for Emergency Care Clinical Trials: Strategies to Innovate EmeRgENcy Care Clinical Trials Network (SIREN) - Data Coordinating Center (DCC) (U24 Clinical Trial Not Allowed),11/19/21,1/19/22,U24,NIH,NINDS,NHLBI,RFA-NS-22-013,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-013.html
Network for Emergency Care Clinical Trials: Strategies to Innovate EmeRgENcy Care Clinical Trials Network (SIREN) - Network Clinical Center (Hub) (U24 Clinical Trial Not Allowed),11/19/21,1/19/22,U24,NIH,NINDS,NHLBI,RFA-NS-22-015,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-015.html
Opportunities for Collaborative Research at the NIH Clinical Center (U01 Clinical Trial Optional),11/19/21,4/19/24,U01,NIH,NICHD,"NIAAA, NIAID, NIAMS, NCCIH, NCI, NIDCD, ORWH, NIMH, NINDS, NHLBI, NIDCR, NEI, NHGRI",PAR-21-343,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-343.html
Pre-application: Opportunities for Collaborative Research at the NIH Clinical Center (X02 Clinical Trial Optional),11/19/21,12/14/23,X02,NIH,NICHD,"NIAAA, NIAID, NIAMS, NCCIH, NCI, NIDCD, ORWH, NIMH, NINDS, NHLBI, NIDCR, NHGRI, NEI",PAR-21-342,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-342.html
Notice of Special Interest (NOSI): Availability of Administrative Supplements to NIGMS Funded Awards for Building Cloud-Based Learning Modules,11/19/21,1/29/22,Admin Supp,NIH,NIGMS,None,NOT-GM-22-004,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-22-004.html
Notice of Special Interest (NOSI): Administrative Supplements for Embedded Ethicists into BRAIN Initiative Supported Research,11/19/21,4/2/22,Admin Supp,NIH,NIMH,"NIAAA, NIA, NCCIH, NIDCD, NICHD, NIBIB, NINDS, NIDA, NEI",NOT-MH-22-040,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-22-040.html
Notice of Special Interest (NOSI): Mechanistic studies on the impact of substance use in sex and gender differences in HIV-associated neurocognitive disorders,11/19/21,1/8/25,"R21,R01",NIH,NIDA,ORWH,NOT-DA-22-047,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-22-047.html
Notice of Special Interest (NOSI): The Functional Oral Microbiome,11/19/21,9/7/25,"R01,R21",NIH,NIDCR,ORWH,NOT-DE-21-015,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-21-015.html
Innovation Corps (I-Corps) at NIH Program for NIH and CDC Translational Research (Admin Supp Clinical Trial NOT Allowed),11/19/21,2/3/24,Admin Supp,NIH,NCI,"CK, NIAAA, NIA, NIAID, NIAMS, NCCIH, NIDCD, NIDDK, NIEHS, NIGMS, NICHD, NIMHD, NIMH, NINR, NINDS, NCATS, ORIP, NHLBI, NIDCR, NIOSH, NIDA, NEI, NHGRI",PAR-22-073,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-073.html
Basic Neurodevelopmental Biology of Circuits and Behavior (R21 Clinical Trial Not Allowed),11/19/21,1/8/25,R21,NIH,NIMH,None,PAR-22-067,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-067.html
Notice of Special Interest (NOSI): Secondary Analysis of Posttraumatic Psychopathology Data,11/18/21,1/8/25,"R01,R21,K08,F30,K01,K23,K22,F32,F31,R03,R36,K99/R00,R15,F99/K00",NIH,NIMH,None,NOT-MH-22-045,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-22-045.html
Notice of Special Interest (NOSI): Reducing Stigma Related to Drug Use in Human Service Settings,11/18/21,1/8/25,"R34,R01,DP1,DP2",NIH,NIDA,NIMH,NOT-DA-21-060,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-060.html
Age-related Macular Degeneration (AMD) Integrative Biology Initiative: Discovery of AMD Pathobiology using Patient-Derived Induced Pluripotent Stem Cell (iPSC)-derived Retinal Pigment Epithelium (RPE) (U01 Clinical Trial Not Allowed),11/17/21,2/18/22,U01,NIH,NEI,None,RFA-EY-21-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-EY-21-002.html
Expert-Driven Small Projects to Strengthen Gabriella Miller Kids First Discovery (R03 Clinical Trial Not Allowed),11/17/21,6/11/22,R03,NIH,RMOD,None,RFA-RM-22-006,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-22-006.html
NIH HEAL Initiative: Preventing Opioid Misuse and Co-Occurring Conditions by Intervening on Social Determinants (R01 Clinical Trials Optional),11/16/21,3/3/22,R01,NIH,NIDA,"OBSSR, NIMH, NIA, ODP",RFA-DA-22-036,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-22-036.html
NEI Regenerative Medicine Clinical Trial Planning Grant (R34 - Clinical Trials Not Allowed),11/16/21,1/8/25,R34,NIH,NEI,None,PAR-22-070,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-070.html
"NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)",11/16/21,2/29/24,R44,NIH,NHLBI,NCATS,RFA-HL-23-008,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-23-008.html
Patient-Clinician Relationship: Improving Health Outcomes in Populations that Experience Health Care Disparities (R01 Clinical Trial Optional),11/16/21,1/8/25,R01,NIH,NIMHD,"NCI, NEI, NIAMS, NIDCD, ORWH",PAR-22-064,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-064.html
Understanding Place-Based Health Inequalities in Mid-Life (R01 Clinical Trial Not Allowed),11/16/21,3/4/22,R01,NIH,NIA,None,RFA-AG-23-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-23-004.html
"Data Harmonization, Curation and Secondary Analysis of Existing Clinical Datasets (R61/R33 Clinical Trial Not Allowed)",11/16/21,3/23/23,R61/R33,NIH,NINDS,None,PAR-22-055,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-055.html
"NHLBI SBIR Phase IIB Bridge Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)",11/16/21,2/29/24,R44,NIH,NHLBI,None,RFA-HL-23-009,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-23-009.html
Basic Neurodevelopmental Biology of Circuits and Behavior (R01 Clinical Trial Not Allowed),11/16/21,1/8/25,R01,NIH,NIMH,None,PAR-22-066,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-066.html
"HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management (R61/R33, Clinical Trial Required)",11/16/21,2/12/22,R61/R33,NIH,NCCIH,"NIDCR, NIA, NIAMS, NICHD, NCATS, NIBIB, NINDS, ORWH",RFA-AT-22-003,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-22-003.html
Using Just-in-Time Adaptive Interventions to Optimize Established Adolescent Mental Health Treatments (R61/R33 Clinical Trial Required),11/15/21,1/13/23,R61/R33,NIH,NIMH,None,RFA-MH-22-150,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-150.html
Alzheimer's Drug-Development Program (U01 Clinical Trial Optional),11/15/21,11/6/24,U01,NIH,NIA,None,PAR-22-047,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-047.html
Notice of Special Interest: SBIR Technology Transfer (R43/R44 Clinical Trial Not Allowed),11/12/21,1/8/25,R43/R44,NIH,NINDS,"NIDCR, NEI, NCI, NIA",NOT-NS-22-017,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-22-017.html
Notice of Special Interest:  Administrative Supplements for Summer Research Experiences for Students and Science Teachers,11/10/21,2/1/23,Admin Supp,NIH,NIEHS,ORWH,NOT-ES-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-22-001.html
Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R01 - Clinical Trial Optional),11/9/21,11/6/24,R01,NIH,NICHD,None,PAR-21-353,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-353.html
Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R03 - Clinical Trial Optional),11/9/21,11/17/24,R03,NIH,NICHD,None,PAR-21-354,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-354.html
Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R21 - Clinical Trial Optional),11/9/21,11/17/24,R21,NIH,NICHD,None,PAR-21-355,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-355.html
"Ultra-Rare Gene-based Therapy (URGenT) Network Resource Access (X01, Clinical Trial Not Allowed)",11/9/21,12/18/24,X01,NIH,NINDS,None,PAR-22-028,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-028.html
Translational Efforts to Advance Gene-based Therapies for Ultra-Rare Neurological and Neuromuscular Disorders (U01 - Clinical Trial Optional),11/9/21,10/11/24,U01,NIH,NINDS,None,PAR-22-030,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-030.html
"Notice of Special Interest (NOSI): Heart, Lung, Blood and Sleep Focused Ancillary Studies to Large Ongoing Clinical Studies (Revised)",11/8/21,5/8/25,R01,NIH,NHLBI,None,NOT-HL-21-030,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-21-030.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Required),11/5/21,3/1/22,K99/R00,NIH,NCI,None,RFA-CA-21-061,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-061.html
Transition to Aging Research for Predoctoral Students (F99/K00 Clinical Trial Not Allowed),11/4/21,2/4/22,F99/K00,NIH,NIA,None,RFA-AG-22-026,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-22-026.html
Notice of Special Interest (NOSI): Improving Outcomes in Cancer Treatment-Related Cardiotoxicity,11/4/21,11/6/24,"R01,R03,R21,P01",NIH,NCI,NHLBI,NOT-CA-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-22-001.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Basic Experimental Studies with Humans Required),11/3/21,3/1/22,K99/R00,NIH,NCI,None,RFA-CA-21-062,RFA,Basic_Trial,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-062.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Not Allowed),11/3/21,3/1/22,K99/R00,NIH,NCI,None,RFA-CA-21-060,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-060.html
Limited Competition: Research Resource for Human Organs and Tissues (U42 Clinical Trial Not Allowed),11/3/21,9/26/22,U42,NIH,ORIP,"NIAID, NIAMS, NIDDK, NHLBI, NEI",PAR-22-056,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-056.html
Innovative Biospecimen Science Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed),11/3/21,9/23/22,R61,NIH,NCI,None,RFA-CA-22-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-003.html
Advanced Development and Validation of Emerging Biospecimen Science Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed),11/3/21,9/23/22,R33,NIH,NCI,None,RFA-CA-22-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-004.html
Prodromal Synaptic and Circuit Changes that Contribute to AD/ADRD Onset and Progression (R01 Clinical Trial Not Allowed),11/3/21,2/6/22,R01,NIH,NINDS,NIA,PAR-22-059,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-059.html
Modulating Human Microbiome Function to Enhance Immune Responses Against Cancer  (R21 Clinical Trial Not Allowed),11/3/21,1/8/25,R21,NIH,NCI,None,PAR-22-062,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-062.html
Modulating Human Microbiome Function to Enhance Immune Responses Against Cancer (R01 Clinical Trial Not Allowed),11/3/21,1/8/25,R01,NIH,NCI,None,PAR-22-061,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-061.html
Clinical Trial Readiness for Functional Neurological Disorders (U01 Clinical Trial Optional),11/2/21,11/6/24,U01,NIH,NINDS,None,PAR-22-053,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-053.html
RePORT International Coordinating Center (RICC) (U01 Clinical Trial Not Allowed),11/2/21,3/18/22,U01,NIH,NIAID,None,RFA-AI-21-078,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-21-078.html
Discovery of the Genetic Basis of Childhood Cancers and of Structural Birth Defects: Gabriella Miller Kids First Pediatric Research Program (X01 Clinical Trial Not Allowed),11/1/21,2/24/22,X01,NIH,RMOD,None,PAR-22-054,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-054.html
Home and Community-Based Physical Activity Interventions to Improve the Health of Wheelchair Users (R01 Clinical Trial Required),10/29/21,3/31/22,R01,NIH,NICHD,None,RFA-HD-22-017,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-22-017.html
"HEAL Initiative: Sickle Cell Disease Pain Management Trials Utilizing the Pain Management Effectiveness Research Network Cooperative Agreement  (UG3/UH3, Clinical Trial Required)",10/29/21,12/16/21,UG3/UH3,NIH,NCCIH,"NIDA, OBSSR, ORWH, NIMHD, NHLBI, NCATS, NINR, NIAMS, NEI",RFA-AT-22-005,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-22-005.html
"HEAL Initiative: Pragmatic and Implementation Studies for the Management of Sickle Cell Disease Pain (UG3/UH3, Clinical Trials Optional)",10/29/21,12/16/21,UG3/UH3,NIH,NCCIH,"NIDA, NIMHD, ORWH, NHLBI, NINR, OBSSR, NIAMS, NEI",RFA-AT-22-004,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-22-004.html
Notice of Special Interest: Administrative Supplements for NIA-VA Mentored Physician-Scientist Award in Alzheimers Disease and Related Dementias (AD/ADRD),10/28/21,12/31/22,Admin Supp,NIH,NIA,None,NOT-AG-21-054,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-21-054.html
Notice of Special Interest (NOSI): Clinical Characterization and Intervention Strategies for Cancer Therapy Induced Adverse Sequelae,10/28/21,5/8/23,P01,NIH,NCI,None,NOT-CA-22-005,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-22-005.html
Cellular Senescence Network: Technology Development and Application in Human Systems (UG3/UH3 Clinical Trial Not Allowed),10/28/21,1/19/22,UG3/UH3,NIH,RMOD,None,RFA-RM-22-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-22-004.html
Cellular Senescence Network: Technology Development and Application in Murine Systems (UG3/UH3 Clinical Trial Not Allowed),10/28/21,1/20/22,UG3/UH3,NIH,RMOD,None,RFA-RM-22-005,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-22-005.html
Cell-Specific Impact of Liquid-Liquid Phase Separation in Aging and AD/ADRD (R21 Clinical Trial Not Allowed),10/28/21,3/4/22,R21,NIH,NIA,None,RFA-AG-23-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-23-002.html
Cellular Senescence Network: Murine Tissue Mapping Centers (U54 - Clinical Trial Not Allowed),10/27/21,1/20/22,U54,NIH,RMOD,None,RFA-RM-22-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-22-003.html
Elucidating the Role of Nutrition in Care and Development of Preterm Infants (R01 Clinical Trial Optional),10/27/21,3/31/22,R01,NIH,NICHD,None,RFA-HD-22-023,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-22-023.html
Limited Competition: NIH Health Care Systems Research Collaboratory - Coordinating Center (U24 Clinical Trial Not Allowed),10/27/21,12/16/21,U24,NIH,NCCIH,"NCI, NINR, NIAMS, ODP, NIAID, NHLBI, NIA, OBSSR, NIMHD",RFA-AT-22-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-22-002.html
Promoting Reproductive Health for Adolescents and Adults with Disabilities (R01 Clinical Trial Optional),10/26/21,3/31/22,R01,NIH,NICHD,ORWH,RFA-HD-23-005,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-005.html
Understanding the Role of Bilingualism in Cognitive Reserve/Resilience in Aging and AD/ADRD (R01 Clinical Trial Optional),10/26/21,3/4/22,R01,NIH,NIA,None,RFA-AG-23-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-23-001.html
Clinical Sites for HIV/Cervical Cancer Prevention 'CASCADE' Clinical Trials Network (UG1 Clinical Trial Required),10/26/21,12/29/21,UG1,NIH,NCI,None,RFA-CA-21-047,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-047.html
Research Bases for HIV/Cervical Cancer Prevention 'CASCADE' Clinical Trials Network (UG1 Clinical Trial Required),10/26/21,12/29/21,UG1,NIH,NCI,None,RFA-CA-21-046,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-046.html
Coordinating Center for HIV/Cervical Cancer Prevention 'CASCADE' Clinical Trials Network (U24 Clinical Trial Required),10/26/21,12/29/21,U24,NIH,NCI,None,RFA-CA-21-045,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-045.html
Notice of Special Interest (NOSI): IDEA2Health:  Innovative Data Evaluation and Analysis to Health,10/26/21,1/8/25,R01,NIH,NHLBI,None,NOT-HL-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-001.html
Notice of Special Interest (NOSI): Administrative Supplements to Support Addiction Science and Related Neuroscience Pilot Research Projects at NIMHD-Funded Research Centers in Minority Institutions (RCMI),10/25/21,2/2/22,Admin Supp,NIH,NIMHD,NIDA,NOT-MD-22-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-22-001.html
Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed),10/21/21,9/14/24,U01,NIH,NCI,None,PAR-22-049,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-049.html
Large Health Services Research Demonstration and Dissemination Projects for Combating Antibiotic-Resistant Bacteria (CARB)(R18),10/21/21,10/31/26,R18,AHRQ,AHRQ,None,PA-22-048,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-22-048.html
Large Research Projects for Combating Antibiotic-Resistant Bacteria (CARB) (R01),10/21/21,10/31/26,R01,AHRQ,AHRQ,None,PA-22-047,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-22-047.html
Expanding Differentiated Care Approaches for Adolescents Living with HIV (R34 Clinical Trial Optional),10/20/21,1/7/22,R34,NIH,NIMH,None,RFA-MH-22-106,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-106.html
Notice of Special Interest (NOSI): Leveraging Microbial Exposure for Improving Mouse Models of Human Immunity,10/20/21,11/20/24,R21,NIH,NIAID,None,NOT-AI-21-072,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-072.html
Clinical Research Education and Career Development (CRECD) Program (R25-Independent Clinical Trial Not Allowed),10/19/21,12/16/21,R25,NIH,NIMHD,"NIDCR, NINR",PAR-21-347,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-347.html
A Multilevel Approach to Connecting Underrepresented Populations to Clinical Trials (CUSP2CT; U01 Clinical Trial Optional),10/19/21,12/11/21,U01,NIH,NCI,None,RFA-CA-21-063,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-21-063.html
Notice of Special Interest (NOSI): NIDDK T32 Medical Student Research Training Administrative Supplement,10/18/21,4/19/24,Admin Supp,NIH,NIDDK,None,NOT-DK-21-015,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-21-015.html
Identification and Characterization of Persistence Mechanisms of Select Protozoan Pathogens (R01 Clinical Trial Not Allowed),10/18/21,2/9/22,R01,NIH,NIAID,None,RFA-AI-21-075,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-21-075.html
Expanding Differentiated Care Approaches for Adolescents Living with HIV (R01 Clinical Trial Optional),10/18/21,1/7/22,R01,NIH,NIMH,None,RFA-MH-22-105,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-105.html
Enhanced Interpersonal Focused Strategies for Suicide Prevention Interventions (R34 Clinical Trial Required),10/18/21,2/19/22,R34,NIH,NIMH,None,RFA-MH-22-125,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-125.html
Notice of Special Interest (NOSI): Somatic Cell Gene Editing Therapies To Improve Transplantation Outcomes,10/18/21,12/3/24,"R21,R01",NIH,NIAID,NHLBI,NOT-AI-21-080,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-080.html
